Food Name,Restaurant,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
Americano Decaffeinated - 20 oz (567g),Bella Union,4,0,0,0,0,5,60,0,0,0,0
Americano Regular - 20 oz (567g),Bella Union,5,0,0,0,0,5,60,0,0,0,0
Cafe Au Lait Skim Milk - 12 oz (340g),Bella Union,99,0,0,0,0,140,30,15,0,14,10
Cafe Au Lait Soy Milk - 20 oz (567g),Bella Union,278,10,1,0,0,300,970,24,2,16,20
Cafe Au Lait Whole Milk - 12 oz (340g),Bella Union,199,10,6,0,45,160,25,16,0,15,10
Cappuccino Oat Milk - 16 oz (454g),Bella Union,309,14,1.5,0,0,280,490,39,2,5,7
Cappuccino Skim Milk - 16 oz (454g),Bella Union,146,0,0,0,0,210,55,21,0,19,14
Cappuccino Soy Milk - 16 oz (454g),Bella Union,257,9,1,0,0,280,880,22,2,14,18
Decaf Mocha Whole Milk - 20 oz (567g),Bella Union,436,17,11,0,75,290,60,48,2,46,18
