Food Name,Restaurant,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
Loaded Pastrami Burger - Sandwich (390g),The Devils Krafthouse,1028,73,26,2,510,1460,890,1,0,0,87
Mushroom Swiss Burger - Sandwich (342g),The Devils Krafthouse,605,38,16,1.5,175,380,710,9,2,4,55
Queso Burger - Sandwich (334g),The Devils Krafthouse,639,40,15,1.5,175,880,850,15,2,4,51
Bacon Jam - 1.5 oz Portion (43g),The Devils Krafthouse,113,5,2,0,5,130,0,16,0,16,1
Brie Cheese - 1 oz Portion (28g),The Devils Krafthouse,81,7,4,0,25,240,0,1,0,0,4
Cheddar Cheese Slice - Slice (21g),The Devils Krafthouse,81,7,4,0,20,140,0,0,0,0,5
Garlic and Herb Cheese - 1 oz Portion (28g),The Devils Krafthouse,117,11,7,0,40,170,0,1,0,1,2
Impossible Burger - Burger Patty (99g),The Devils Krafthouse,211,12,7,0,0,320,540,8,0,1,17
Provolone Cheese Slice - Slice (21g),The Devils Krafthouse,76,6,3,0,15,180,0,0,0,0,5
Red Onion - 1.5 oz Portion (43g),The Devils Krafthouse,17,0,0,0,0,0,60,4,1,2,0
Romaine Lettuce - Portion (3g),The Devils Krafthouse,0,0,0,0,0,0,5,0,0,0,0
Swiss Cheese Slice - Slice (21g),The Devils Krafthouse,81,6,4,0,20,50,0,1,0,0,6
Tomato - 1.5 oz Portion (43g),The Devils Krafthouse,8,0,0,0,0,0,100,2,0,1,0
Fresh Cut Fries - 4 oz Portion (113g),The Devils Krafthouse,245,21,1.5,0,0,210,370,15,2,1,1
House Made Chips - 4 oz Portion (136g),The Devils Krafthouse,416,33,4,0,0,580,0,28,3,1,3
Mixed Fruit Cup - 12 oz Portion (340g),The Devils Krafthouse,157,0,0,0,0,35,260,40,3,35,3
Mixed Green Salad - Salad (282g),The Devils Krafthouse,68,0,0,0,0,55,350,14,5,8,3
Sweet Potato Fries - 5 oz Portion (102g),The Devils Krafthouse,271,17,1.5,0,0,580,0,28,2,12,1
Ice Cream Sandwich - Sandwich (270g),The Devils Krafthouse,932,45,28,0,145,400,370,122,3,84,8
Oreo Mint Sundae - Portion (362g),The Devils Krafthouse,847,25,14,0,50,440,510,141,2,116,10
Oreo Sundae - Portion (362g),The Devils Krafthouse,813,25,14,0,50,460,510,132,4,101,11
Strawberry Chip Sundae - Portion (390g),The Devils Krafthouse,744,30,20,0,50,220,520,115,6,99,12
Strawberry Sundae - Portion (333g),The Devils Krafthouse,479,15,11,0,50,220,520,77,2,69,8
Triple Chocolate Sundae - Portion (333g),The Devils Krafthouse,732,30,20,0,50,230,410,110,4,94,12
Cappuccino Chip Shake - Shake (369g),The Devils Krafthouse,617,23,15,0,70,290,690,93,2,82,12
Cappuccino Shake - Shake (349g),The Devils Krafthouse,512,16,11,0,65,290,570,82,0,73,11
Chocolate Chip Shake - Shake (410g),The Devils Krafthouse,636,26,17,0,85,350,810,87,2,76,15
Chocolate Oreo Shake - Shake (413g),The Devils Krafthouse,732,21,12,0,65,400,600,122,2,100,14
Chocolate Shake - Shake (409g),The Devils Krafthouse,638,17,11,0,70,330,600,108,2,93,14
Mint Chocolate Chip Shake - Shake (362g),The Devils Krafthouse,607,23,15,0,70,290,690,89,2,79,12
Mint Oreo Shake - Shake (371g),The Devils Krafthouse,629,21,12,0,70,380,610,97,0,81,12
Mint Shake - Shake (344g),The Devils Krafthouse,503,16,11,0,65,290,570,78,0,71,11
Mocha Shake - Shake (405g),The Devils Krafthouse,662,16,10,0,65,310,560,118,2,103,13
Oreo Shake - Shake (349g),The Devils Krafthouse,563,21,12,0,65,380,610,81,0,66,12
Strawberry Chip Shake - Shake (422g),The Devils Krafthouse,625,23,15,0,70,290,790,94,3,83,13
Strawberry Shake - Shake (403g),The Devils Krafthouse,520,16,11,0,70,290,670,83,2,74,12
Vanilla Shake - Shake (360g),The Devils Krafthouse,490,18,12,0,75,320,630,70,0,61,12
