Food Name,Restaurant,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
Pickle Chip - 5 Pickle Portion (17g),Gothic Grill,0,0,0,0,0,210,0,1,0,0,0
Red Onion - .4 oz Portion (11g),Gothic Grill,5,0,0,0,0,0,15,1,0,0,0
Sauteed Mushroom - 1.2 oz Portion (34g),Gothic Grill,11,0,0,0,0,5,0,1,0,0,1
Spinach - .5 oz Portion (13g),Gothic Grill,3,0,0,0,0,10,75,0,0,0,0
Tomato Slice - 1 oz Portion (28g),Gothic Grill,5,0,0,0,0,0,65,1,0,1,0
Avocado - 1/4 Avocado Portion (0g),Gothic Grill,0,0,0,0,0,0,0,0,0,0,0
Spicy Black Bean Burger - Patty (94g),Gothic Grill,171,6,1,0,5,360,330,18,6,1,16
Fried Egg - Egg (52g),Gothic Grill,102,8,2,0,210,110,80,0,0,0,7
Bacon - 1.5 oz Portion (43g),Gothic Grill,213,15,6,0,60,910,0,0,0,0,18
Sauteed Mushroom - 1.2 oz Portion (34g),Gothic Grill,11,0,0,0,0,5,0,1,0,0,1
Cali Pizza - Pizza (593g),Gothic Grill,1159,59,20,0,160,2270,380,92,7,5,77
Island Pizza - Pizza (622g),Gothic Grill,1207,55,25,0,215,3790,40,107,4,21,78
Meateater Pizza - Pizza (566g),Gothic Grill,1408,80,35,0,245,4190,190,95,5,12,86
Veg Pizza - Pizza (618g),Gothic Grill,877,38,12,0,0,2330,610,120,12,11,22
House Made Chips - 8 oz Portion (221g),Gothic Grill,576,42,4.5,0,0,530,840,49,5,2,5
Coleslaw - 5 oz Portion (142g),Gothic Grill,198,11,2,0,5,300,340,24,3,21,1
Fresh Cut Fries - 4 oz Portion (113g),Gothic Grill,245,21,1.5,0,0,210,370,15,2,1,1
Tortilla Chips - 3 oz Portion (85g),Gothic Grill,285,10,1,0,0,30,240,44,3,3,5
Banana Split - Banana Split (655g),Gothic Grill,1143,61,47,0,175,350,70,152,13,124,14
Cake Cone - Cone (6g),Gothic Grill,22,0,0,0,0,5,0,4,0,0,0
Waffle Cone - Cone (26g),Gothic Grill,98,0,0,0,0,50,0,22,1,7,2
Chocolate Cookie Dough Ice Cream - Scoop (113g),Gothic Grill,241,16,11,0,60,135,0,23,0,21,2
Chocolate Ice Cream - Scoop (170g),Gothic Grill,346,24,17,0,75,150,0,45,13,23,10
Coffee Ice Cream - Scoop (113g),Gothic Grill,218,16,11,0,60,120,0,20,0,19,2
Cookies and Cream Ice Cream - Scoop (113g),Gothic Grill,227,16,11,0,60,115,0,21,0,20,2
Devil's Delight Ice Cream - Scoop (113g),Gothic Grill,241,17,12,0,60,120,0,23,0,22,3
Mint Chocolate Chip Ice Cream - Scoop (113g),Gothic Grill,229,16,11,0,60,120,0,21,0,20,2
Strawberry Ice Cream - Scoop (113g),Gothic Grill,203,14,11,0,60,115,0,18,0,18,2
Vanilla Ice Cream - Scoop (170g),Gothic Grill,331,24,17,0,100,180,0,29,0,29,3
Banana - 1.5 oz Portion (43g),Gothic Grill,37,0,0,0,0,0,0,10,1,6,0
Blueberry Syrup - .4 oz Portion (11g),Gothic Grill,40,0,0,0,0,0,0,10,0,10,0
Fresh Blueberries - .8 oz Portion (23g),Gothic Grill,13,0,0,0,0,0,0,3,1,1,0
Chocolate Chip Topping - .8 oz Portion (23g),Gothic Grill,106,6,4,0,0,0,0,15,1,12,1
Chocolate Syrup - 2 oz Portion (57g),Gothic Grill,220,1,0,0,0,40,0,48,4,48,2
Cookie Dough Topping - .8 oz Portion (23g),Gothic Grill,101,5,2.5,0,0,75,20,15,0,8,1
Maraschino Cherry - Cherry (3g),Gothic Grill,2,0,0,0,0,0,0,0,0,0,0
Oreo Topping - .5 oz Portion (14g),Gothic Grill,68,2.5,1,0,0,55,25,10,0,6,0
Pineapple Tidbits - .9 oz Portion (26g),Gothic Grill,15,0,0,0,0,0,0,4,0,4,0
Strawberry Topping - 1.3 oz Portion (37g),Gothic Grill,13,0,0,0,0,0,55,3,1,2,0
Non-Dairy Whipped Topping - .6 oz Portion (17g),Gothic Grill,57,4.5,4.5,0,0,0,0,3,0,3,0
