Food Name,Restaurant,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
Fudge Brownie - Brownie (100g),Cafe,415,20,12,0,100,110,180,56,4,75,6
Lemon Bar - Bar (160g),Cafe,575,22,13,0,160,55,110,90,1,70,6
Lemon Pound Cake - Slice (111g),Cafe,412,10,2,0,35,100,50,82,2,74,2
Oatmeal Raisin Cookies - Cookie (85g),Cafe,272,1.5,1,0,5,35,35,68,0,64,1
Pumpkin Sweet Bread - Slice (154g),Cafe,522,19,2,0,55,170,85,82,2,102,6
Shortdough Cookie - Cookie (44g),Cafe,197,9,6,0,35,5,25,24,0,9,3
Strawberry Shortcake Cake - Slice (223g),Cafe,3434,291,197,0,1135,280,870,186,1,104,628
Tiramisu Cake - Slice (142g),Cafe,560,32,17,0,120,35,65,64,0,40,472
Cheese Danish - Danish (62g),Cafe,439,27,17,0,75,220,125,42,1,13,6
Cappucino Gelato - Scoop (68g),Cafe,95,3,2,0,10,50,125,15,0,14,3
Chocolate Gelato - Scoop (68g),Cafe,129,6,3,0,10,45,110,16,1,13,3
Dulce de Leche Gelato - Scoop (68g),Cafe,116,3,2,0,10,95,110,20,0,18,2
Lemon Sorbet - Scoop (68g),Cafe,205,0,0,0,0,10,25,54,0,91,0
Mango Sorbet - Scoop (60g),Cafe,110,0,0,0,0,0,65,28,0,43,0
Mint Chocolate Chip Gelato - Scoop (68g),Cafe,138,5,3.5,0,10,40,130,21,1,18,3
Mixed Berry Sorbet - Scoop (68g),Cafe,128,0,0,0,0,5,50,32,1,47,0
Pomegranate Orange Blossom Gelato - Scoop (53g),Cafe,78,2,1.5,0,10,35,90,13,0,12,2
Salted Caramel Gelato - Scoop (49g),Cafe,70,2,1.5,0,10,35,90,11,0,10,2
Vanilla Gelato - Scoop (68g),Cafe,99,2.5,2,0,10,50,120,16,0,14,3
Banana - Banana (118g),Cafe,114,0,0,0,0,0,380,27,2,0,1
Strawberry - 2 oz Portion (57g),Cafe,19,0,0,0,0,0,0,4,0,3,0
Apple Juice - 12 oz (340g),Cafe,220,0,0,0,0,0,530,55,0,55,0
Carrot Juice - 12 oz (340g),Cafe,41,0,0,0,0,65,300,9,1,4,1
Green Monster - 12 oz (340g),Cafe,142,0,0,0,0,250,590,32,2,28,3
Healthy Boost - 12 oz (340g),Cafe,141,0,0,0,0,85,640,33,1,30,1
Mango Smoothie - Large (567g),Cafe,509,1.5,0.5,0,0,5,700,127,5,135,3
Orange Juice - 12 oz (340g),Cafe,153,0.5,0,0,0,0,680,35,1,29,2
Strawberry Smoothie - Large (567g),Cafe,454,1,0,0,0,10,650,113,8,120,3
Apple - 1.9 oz Portion (54g),Cafe,29,0,0,0,0,0,0,8,1,6,0
Celery - 1.1 oz Portion (31g),Cafe,6,0,0,0,0,30,90,1,0,0,0
Cucumber - 2.8 oz Portion (79g),Cafe,10,0,0,0,0,0,110,2,1,1,0
Kale - 1.2 oz Portion (34g),Cafe,6,0,0,0,0,15,0,1,0,0,0
Americano - Large (567g),Cafe,0,0,0,0,0,0,0,0,0,0,0
Caramel Leche Whole Milk - Large (567g),Cafe,634,19,14,0,75,840,550,101,0,89,14
Brewed Coffee - Large (567g),Cafe,5,0,0,0,0,10,0,0,0,0,0
Cold Brew - Large (567g),Cafe,5,0,0,0,0,10,0,0,0,0,0
Vietnamese Iced Coffee Oat Milk - Small (340g),Cafe,419,10,5,0,35,210,530,73,1,66,11
Vietnamese Iced Coffee Skim Milk - Large (567g),Cafe,617,14,9,0,60,340,1180,102,0,101,23
Vietnamese Iced Coffee Whole Milk - Large (567g),Cafe,715,25,15,0,100,380,1130,103,0,100,23
Hot Chocolate Oat Milk - Small (340g),Cafe,256,4.5,3.5,0,0,150,180,52,3,38,6
Hot Chocolate Skim Milk - Small (340g),Cafe,185,2,3.5,0,5,140,490,34,2,31,11
Hot Chocolate Whole Milk - Small (340g),Cafe,425,14,17,0,35,160,320,73,6,63,11
Organic Earl Grey Tea - Cup (229g),Cafe,0,0,0,0,0,0,0,0,0,0,0
Caramel Leche Oat Milk - Large (599g),Cafe,634,9,6,0,15,860,240,131,2,105,7
Caramel Leche Skim Milk - Large (567g),Cafe,508,5,5,0,20,810,630,100,0,90,13
Caramel Leche Whole Milk - Small (340g),Cafe,380,11,8,0,45,510,330,61,0,53,8
Iced Cafe Latte Oat Milk - Large (567g),Cafe,263,4,0,0,0,210,270,51,2,34,8
Iced Cafe Latte Skim Milk - Large (567g),Cafe,156,0,0,0,10,200,750,23,0,23,16
Iced Cafe Latte Whole Milk - Large (567g),Cafe,306,16,10,0,70,240,660,24,0,22,16
Iced Caramel Leche Oat Milk - Small (340g),Cafe,379,6,3.5,0,10,530,125,78,1,64,4
Iced Caramel Leche Skim Milk - Small (340g),Cafe,325,3.5,3.5,0,15,510,340,64,0,58,7
Iced Caramel Leche Whole Milk - Large (567g),Cafe,655,19,14,0,70,890,510,108,0,95,13
Iced Cappuccino Oat Milk - Large (571g),Cafe,265,4,0,0,0,210,270,51,2,35,8
Iced Cappuccino Whole Milk - Medium (453g),Cafe,244,13,8,0,55,190,520,19,0,18,13
Cappuccino Oat Milk - Large (567g),Cafe,287,4.5,0,0,0,230,290,55,2,37,9
Cappuccino Skim Milk - Small (477g),Cafe,142,0,0,0,10,180,680,21,0,21,14
Cappuccino Whole Milk - Large (775g),Cafe,453,24,15,0,105,360,970,36,0,33,24
Green Matcha Latte Oat Milk - Large (567g),Cafe,693,4,0,0,0,510,260,154,2,138,8
Iced Green Matcha Latte Oat Milk - Small (340g),Cafe,201,3,0,0,0,160,190,39,1,27,6
Iced Masala Chai Latte Oat Milk - Large (567g),Cafe,244,2,0,0,0,95,120,54,1,47,4
Iced Masala Chai Latte Skim Milk - Large (567g),Cafe,196,0,0,0,5,130,490,38,0,38,11
Iced Masala Chai Latte Whole Milk - Small (340g),Cafe,177,7,4,0,30,100,260,23,0,22,7
Iced Mocha Latte Oat Milk - Large (567g),Cafe,479,9,12,0,0,210,210,100,8,79,9
Iced Mocha Latte Skim Milk - Large (567g),Cafe,390,6,12,0,10,200,580,78,6,69,15
Iced Mocha Latte Whole Milk - Small (340g),Cafe,304,11,12,0,35,140,310,47,4,41,9
London Fog Oat Milk - Large (567g),Cafe,45,0.5,0,0,0,35,45,9,0,6,1
London Fog Skim Milk - Large (591g),Cafe,117,0,0,0,5,140,540,17,0,18,12
London Fog Whole Milk - Small (352g),Cafe,134,7,4.5,0,30,105,290,11,0,10,7
Masala Chai Latte Oat Milk - Large (567g),Cafe,307,4.5,0,0,0,230,290,60,2,43,9
Masala Chai Latte Skim Milk - Large (567g),Cafe,194,0,0,0,10,210,790,31,0,31,17
Masala Chai Latte Whole Milk - Large (567g),Cafe,351,17,11,0,75,260,710,32,0,30,17
Mocha Latte Oat Milk - Small (340g),Cafe,185,3,1.5,0,0,130,160,36,2,26,5
Mocha Latte Skim Milk - Large (567g),Cafe,202,1,2,0,10,210,740,34,1,32,16
Mocha Latte Whole Milk - Small (340g),Cafe,210,10,7,0,40,150,390,21,1,19,10
Green Matcha Latte Skim Milk - Large (601g),Cafe,602,0,0,0,10,510,760,129,0,129,16
Green Matcha Latte Whole Milk - Large (595g),Cafe,751,17,10,0,75,560,670,130,0,128,17
Iced Green Matcha Latte Skim Milk - Small (340g),Cafe,125,0,0,0,5,150,530,19,0,20,11
Iced Green Matcha Latte Whole Milk - Small (340g),Cafe,230,12,7,0,50,180,470,20,0,19,12
Caramel Frappe Oat Milk - Large (517g),Cafe,2149,168,118,0,660,660,660,146,0,116,6
Caramel Frappe Skim Milk - Large (517g),Cafe,2123,167,118,0,660,660,770,139,0,113,7
Caramel Frappe Whole Milk - Large (517g),Cafe,10871,971,680,0,3875,1470,3150,475,0,289,8
Chai Frappe Oat Milk - Large (567g),Cafe,854,24,23,0,0,270,600,145,0,122,12
Chai Frappe Whole Milk - Large (517g),Cafe,1964,167,117,0,670,310,750,99,0,78,8
Matcha Frappe Oat Milk - Large (628g),Cafe,2101,166,115,0,650,430,760,135,1,106,9
Matcha Frappe Skim Milk - Large (628g),Cafe,2037,164,115,0,655,420,1040,119,0,99,13
Matcha Frappe Whole Milk - Large (628g),Cafe,2126,173,121,0,695,440,990,119,0,98,13
Mocha Frappe Skim Milk - Large (517g),Cafe,2046,167,121,0,655,320,770,124,3,100,9
Mocha Frappe Oat Milk - Large (517g),Cafe,2072,168,121,0,650,320,660,131,4,102,7
Mocha Frappe Whole Milk - Large (517g),Cafe,2082,171,123,0,670,330,750,124,3,99,9
Vanilla Frappe Skim Milk - Large (510g),Cafe,2067,164,115,0,655,300,770,133,0,113,7
Vanilla Frappe Oat Milk - Large (510g),Cafe,2093,165,115,0,650,300,660,139,0,115,6
Vanilla Frappe Whole Milk - Large (531g),Cafe,2974,247,173,0,990,390,990,166,0,130,8
Espresso Shot - Shot (28g),Cafe,0,0,0,0,0,0,0,0,0,0,0
Protein Shot - Shot (20g),Cafe,74,2,0.5,0,0,110,150,5,3,0,10
Homemade Whipped Cream - .5 oz Portion (165g),Cafe,581,53,37,0,215,55,160,22,0,12,0
