Food Name,Restaurant,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
Iced Cappuccino Whole Milk - Medium (453g),Saladalia,244,13,8,0,55,190,520,19,0,18,13
Cappuccino Oat Milk - Large (567g),Saladalia,287,4.5,0,0,0,230,290,55,2,37,9
Cappuccino Skim Milk - Small (477g),Saladalia,142,0,0,0,10,180,680,21,0,21,14
Cappuccino Whole Milk - Large (775g),Saladalia,453,24,15,0,105,360,970,36,0,33,24
Green Matcha Latte Oat Milk - Large (567g),Saladalia,693,4,0,0,0,510,260,154,2,138,8
Iced Green Matcha Latte Oat Milk - Small (340g),Saladalia,201,3,0,0,0,160,190,39,1,27,6
Iced Masala Chai Latte Oat Milk - Large (567g),Saladalia,244,2,0,0,0,95,120,54,1,47,4
Iced Masala Chai Latte Skim Milk - Large (567g),Saladalia,196,0,0,0,5,130,490,38,0,38,11
Iced Masala Chai Latte Whole Milk - Small (340g),Saladalia,177,7,4,0,30,100,260,23,0,22,7
Iced Mocha Latte Oat Milk - Large (567g),Saladalia,479,9,12,0,0,210,210,100,8,79,9
Iced Mocha Latte Skim Milk - Large (567g),Saladalia,390,6,12,0,10,200,580,78,6,69,15
Iced Mocha Latte Whole Milk - Small (340g),Saladalia,304,11,12,0,35,140,310,47,4,41,9
London Fog Oat Milk - Large (567g),Saladalia,45,0.5,0,0,0,35,45,9,0,6,1
London Fog Skim Milk - Large (591g),Saladalia,117,0,0,0,5,140,540,17,0,18,12
London Fog Whole Milk - Small (352g),Saladalia,134,7,4.5,0,30,105,290,11,0,10,7
Masala Chai Latte Oat Milk - Large (567g),Saladalia,307,4.5,0,0,0,230,290,60,2,43,9
Masala Chai Latte Skim Milk - Large (567g),Saladalia,194,0,0,0,10,210,790,31,0,31,17
Masala Chai Latte Whole Milk - Large (567g),Saladalia,351,17,11,0,75,260,710,32,0,30,17
Mocha Latte Oat Milk - Small (340g),Saladalia,185,3,1.5,0,0,130,160,36,2,26,5
Mocha Latte Skim Milk - Large (567g),Saladalia,202,1,2,0,10,210,740,34,1,32,16
Mocha Latte Whole Milk - Small (340g),Saladalia,210,10,7,0,40,150,390,21,1,19,10
Green Matcha Latte Skim Milk - Large (601g),Saladalia,602,0,0,0,10,510,760,129,0,129,16
Green Matcha Latte Whole Milk - Large (595g),Saladalia,751,17,10,0,75,560,670,130,0,128,17
Iced Green Matcha Latte Skim Milk - Small (340g),Saladalia,125,0,0,0,5,150,530,19,0,20,11
Iced Green Matcha Latte Whole Milk - Small (340g),Saladalia,230,12,7,0,50,180,470,20,0,19,12
Caramel Frappe Oat Milk - Large (517g),Saladalia,2149,168,118,0,660,660,660,146,0,116,6
Caramel Frappe Skim Milk - Large (517g),Saladalia,2123,167,118,0,660,660,770,139,0,113,7
Caramel Frappe Whole Milk - Large (517g),Saladalia,10871,971,680,0,3875,1470,3150,475,0,289,8
Chai Frappe Oat Milk - Large (567g),Saladalia,854,24,23,0,0,270,600,145,0,122,12
Chai Frappe Skim Milk - Large (567g),Saladalia,824,23,23,0,0,270,690,138,0,119,13
Chai Frappe Whole Milk - Large (517g),Saladalia,1964,167,117,0,670,310,750,99,0,78,8
Matcha Frappe Oat Milk - Large (628g),Saladalia,2101,166,115,0,650,430,760,135,1,106,9
Matcha Frappe Skim Milk - Large (628g),Saladalia,2037,164,115,0,655,420,1040,119,0,99,13
Matcha Frappe Whole Milk - Large (628g),Saladalia,2126,173,121,0,695,440,990,119,0,98,13
Mocha Frappe Skim Milk - Large (517g),Saladalia,2046,167,121,0,655,320,770,124,3,100,9
Mocha Frappe Oat Milk - Large (517g),Saladalia,2072,168,121,0,650,320,660,131,4,102,7
Mocha Frappe Whole Milk - Large (517g),Saladalia,2082,171,123,0,670,330,750,124,3,99,9
Vanilla Frappe Skim Milk - Large (510g),Saladalia,2067,164,115,0,655,300,770,133,0,113,7
Vanilla Frappe Oat Milk - Large (510g),Saladalia,2093,165,115,0,650,300,660,139,0,115,6
Vanilla Frappe Whole Milk - Large (531g),Saladalia,2974,247,173,0,990,390,990,166,0,130,8
Espresso Shot - Shot (28g),Saladalia,0,0,0,0,0,0,0,0,0,0,0
Protein Shot - Shot (20g),Saladalia,74,2,0.5,0,0,110,150,5,3,0,10
Homemade Whipped Cream - .5 oz Portion (165g),Saladalia,581,53,37,0,215,55,160,22,0,12,0
